2026-03-05 22:42:33,526 | ERROR | app.scale.reader | Serial error: [Errno 2] could not open port COM6: [Errno 2] No such file or directory: 'COM6' (COM port busy? Close other apps using the scale.)
2026-03-05 22:42:35,531 | INFO | app.scale.reader | Connecting to COM6 @ 9600...
2026-03-05 22:42:35,532 | ERROR | app.scale.reader | Serial error: [Errno 2] could not open port COM6: [Errno 2] No such file or directory: 'COM6' (COM port busy? Close other apps using the scale.)
2026-03-05 22:42:37,536 | INFO | app.scale.reader | Connecting to COM6 @ 9600...
2026-03-05 22:42:37,536 | ERROR | app.scale.reader | Serial error: [Errno 2] could not open port COM6: [Errno 2] No such file or directory: 'COM6' (COM port busy? Close other apps using the scale.)
2026-03-05 22:42:39,542 | INFO | app.scale.reader | Connecting to COM6 @ 9600...
2026-03-05 22:42:39,543 | ERROR | app.scale.reader | Serial error: [Errno 2] could not open port COM6: [Errno 2] No such file or directory: 'COM6' (COM port busy? Close other apps using the scale.)
2026-03-05 22:42:41,547 | INFO | app.scale.reader | Connecting to COM6 @ 9600...
2026-03-05 22:42:41,547 | ERROR | app.scale.reader | Serial error: [Errno 2] could not open port COM6: [Errno 2] No such file or directory: 'COM6' (COM port busy? Close other apps using the scale.)
2026-03-05 22:42:43,553 | INFO | app.scale.reader | Connecting to COM6 @ 9600...
2026-03-05 22:42:43,553 | ERROR | app.scale.reader | Serial error: [Errno 2] could not open port COM6: [Errno 2] No such file or directory: 'COM6' (COM port busy? Close other apps using the scale.)
2026-03-05 22:42:45,560 | INFO | app.scale.reader | Connecting to COM6 @ 9600...
2026-03-05 22:42:45,560 | ERROR | app.scale.reader | Serial error: [Errno 2] could not open port COM6: [Errno 2] No such file or directory: 'COM6' (COM port busy? Close other apps using the scale.)
2026-03-05 22:42:47,565 | INFO | app.scale.reader | Connecting to COM6 @ 9600...
2026-03-05 22:42:47,565 | ERROR | app.scale.reader | Serial error: [Errno 2] could not open port COM6: [Errno 2] No such file or directory: 'COM6' (COM port busy? Close other apps using the scale.)
2026-03-05 22:42:49,567 | INFO | app.scale.reader | Connecting to COM6 @ 9600...
2026-03-05 22:42:49,568 | ERROR | app.scale.reader | Serial error: [Errno 2] could not open port COM6: [Errno 2] No such file or directory: 'COM6' (COM port busy? Close other apps using the scale.)
2026-03-05 22:42:51,573 | INFO | app.scale.reader | Connecting to COM6 @ 9600...
2026-03-05 22:42:51,574 | ERROR | app.scale.reader | Serial error: [Errno 2] could not open port COM6: [Errno 2] No such file or directory: 'COM6' (COM port busy? Close other apps using the scale.)
2026-03-05 22:42:53,576 | INFO | app.scale.reader | Connecting to COM6 @ 9600...
2026-03-05 22:42:53,577 | ERROR | app.scale.reader | Serial error: [Errno 2] could not open port COM6: [Errno 2] No such file or directory: 'COM6' (COM port busy? Close other apps using the scale.)
2026-03-05 22:42:55,582 | INFO | app.scale.reader | Connecting to COM6 @ 9600...
2026-03-05 22:42:55,582 | ERROR | app.scale.reader | Serial error: [Errno 2] could not open port COM6: [Errno 2] No such file or directory: 'COM6' (COM port busy? Close other apps using the scale.)
2026-03-05 22:42:57,585 | INFO | app.scale.reader | Connecting to COM6 @ 9600...
2026-03-05 22:42:57,586 | ERROR | app.scale.reader | Serial error: [Errno 2] could not open port COM6: [Errno 2] No such file or directory: 'COM6' (COM port busy? Close other apps using the scale.)
2026-03-05 22:42:59,587 | INFO | app.scale.reader | Connecting to COM6 @ 9600...
2026-03-05 22:42:59,587 | ERROR | app.scale.reader | Serial error: [Errno 2] could not open port COM6: [Errno 2] No such file or directory: 'COM6' (COM port busy? Close other apps using the scale.)
2026-03-05 22:43:01,591 | INFO | app.scale.reader | Connecting to COM6 @ 9600...
2026-03-05 22:43:01,592 | ERROR | app.scale.reader | Serial error: [Errno 2] could not open port COM6: [Errno 2] No such file or directory: 'COM6' (COM port busy? Close other apps using the scale.)
2026-03-05 22:43:03,597 | INFO | app.scale.reader | Connecting to COM6 @ 9600...
2026-03-05 22:43:03,598 | ERROR | app.scale.reader | Serial error: [Errno 2] could not open port COM6: [Errno 2] No such file or directory: 'COM6' (COM port busy? Close other apps using the scale.)
2026-03-05 22:43:05,601 | INFO | app.scale.reader | Connecting to COM6 @ 9600...
2026-03-05 22:43:05,602 | ERROR | app.scale.reader | Serial error: [Errno 2] could not open port COM6: [Errno 2] No such file or directory: 'COM6' (COM port busy? Close other apps using the scale.)
2026-03-05 22:43:07,603 | INFO | app.scale.reader | Connecting to COM6 @ 9600...
2026-03-05 22:43:07,603 | ERROR | app.scale.reader | Serial error: [Errno 2] could not open port COM6: [Errno 2] No such file or directory: 'COM6' (COM port busy? Close other apps using the scale.)
2026-03-05 22:43:09,608 | INFO | app.scale.reader | Connecting to COM6 @ 9600...
2026-03-05 22:43:09,608 | ERROR | app.scale.reader | Serial error: [Errno 2] could not open port COM6: [Errno 2] No such file or directory: 'COM6' (COM port busy? Close other apps using the scale.)
2026-03-05 22:58:46,193 | INFO | root | === POS Scale App started ===
2026-03-05 22:58:46,310 | INFO | app.ui.main_window | Main window ready
2026-03-05 22:58:46,420 | INFO | app.scale.reader | Connecting to COM6 @ 9600...
2026-03-05 22:58:46,420 | ERROR | app.scale.reader | Serial error: [Errno 2] could not open port COM6: [Errno 2] No such file or directory: 'COM6' (COM port busy? Close other apps using the scale.)
2026-03-05 22:58:48,425 | INFO | app.scale.reader | Connecting to COM6 @ 9600...
2026-03-05 22:58:48,425 | ERROR | app.scale.reader | Serial error: [Errno 2] could not open port COM6: [Errno 2] No such file or directory: 'COM6' (COM port busy? Close other apps using the scale.)
2026-03-05 22:58:50,431 | INFO | app.scale.reader | Connecting to COM6 @ 9600...
2026-03-05 22:58:50,434 | ERROR | app.scale.reader | Serial error: [Errno 2] could not open port COM6: [Errno 2] No such file or directory: 'COM6' (COM port busy? Close other apps using the scale.)
2026-03-05 22:58:52,437 | INFO | app.scale.reader | Connecting to COM6 @ 9600...
2026-03-05 22:58:52,438 | ERROR | app.scale.reader | Serial error: [Errno 2] could not open port COM6: [Errno 2] No such file or directory: 'COM6' (COM port busy? Close other apps using the scale.)
2026-03-05 22:58:54,438 | INFO | app.scale.reader | Connecting to COM6 @ 9600...
2026-03-05 22:58:54,439 | ERROR | app.scale.reader | Serial error: [Errno 2] could not open port COM6: [Errno 2] No such file or directory: 'COM6' (COM port busy? Close other apps using the scale.)
2026-03-05 22:58:56,444 | INFO | app.scale.reader | Connecting to COM6 @ 9600...
2026-03-05 22:58:56,445 | ERROR | app.scale.reader | Serial error: [Errno 2] could not open port COM6: [Errno 2] No such file or directory: 'COM6' (COM port busy? Close other apps using the scale.)
2026-03-05 22:58:58,449 | INFO | app.scale.reader | Connecting to COM6 @ 9600...
2026-03-05 22:58:58,450 | ERROR | app.scale.reader | Serial error: [Errno 2] could not open port COM6: [Errno 2] No such file or directory: 'COM6' (COM port busy? Close other apps using the scale.)
2026-03-05 22:59:00,456 | INFO | app.scale.reader | Connecting to COM6 @ 9600...
2026-03-05 22:59:00,456 | ERROR | app.scale.reader | Serial error: [Errno 2] could not open port COM6: [Errno 2] No such file or directory: 'COM6' (COM port busy? Close other apps using the scale.)
2026-03-05 22:59:02,458 | INFO | app.scale.reader | Connecting to COM6 @ 9600...
2026-03-05 22:59:02,458 | ERROR | app.scale.reader | Serial error: [Errno 2] could not open port COM6: [Errno 2] No such file or directory: 'COM6' (COM port busy? Close other apps using the scale.)
2026-03-05 22:59:04,463 | INFO | app.scale.reader | Connecting to COM6 @ 9600...
2026-03-05 22:59:04,464 | ERROR | app.scale.reader | Serial error: [Errno 2] could not open port COM6: [Errno 2] No such file or directory: 'COM6' (COM port busy? Close other apps using the scale.)
2026-03-05 22:59:06,470 | INFO | app.scale.reader | Connecting to COM6 @ 9600...
2026-03-05 22:59:06,471 | ERROR | app.scale.reader | Serial error: [Errno 2] could not open port COM6: [Errno 2] No such file or directory: 'COM6' (COM port busy? Close other apps using the scale.)
2026-03-05 22:59:08,478 | INFO | app.scale.reader | Connecting to COM6 @ 9600...
2026-03-05 22:59:08,480 | ERROR | app.scale.reader | Serial error: [Errno 2] could not open port COM6: [Errno 2] No such file or directory: 'COM6' (COM port busy? Close other apps using the scale.)
2026-03-05 22:59:10,485 | INFO | app.scale.reader | Connecting to COM6 @ 9600...
2026-03-05 22:59:10,487 | ERROR | app.scale.reader | Serial error: [Errno 2] could not open port COM6: [Errno 2] No such file or directory: 'COM6' (COM port busy? Close other apps using the scale.)
2026-03-05 22:59:12,491 | INFO | app.scale.reader | Connecting to COM6 @ 9600...
2026-03-05 22:59:12,491 | ERROR | app.scale.reader | Serial error: [Errno 2] could not open port COM6: [Errno 2] No such file or directory: 'COM6' (COM port busy? Close other apps using the scale.)
2026-03-05 22:59:14,496 | INFO | app.scale.reader | Connecting to COM6 @ 9600...
2026-03-05 22:59:14,497 | ERROR | app.scale.reader | Serial error: [Errno 2] could not open port COM6: [Errno 2] No such file or directory: 'COM6' (COM port busy? Close other apps using the scale.)
2026-03-05 22:59:16,497 | INFO | app.scale.reader | Connecting to COM6 @ 9600...
2026-03-05 22:59:16,498 | ERROR | app.scale.reader | Serial error: [Errno 2] could not open port COM6: [Errno 2] No such file or directory: 'COM6' (COM port busy? Close other apps using the scale.)
2026-03-05 22:59:18,501 | INFO | app.scale.reader | Connecting to COM6 @ 9600...
2026-03-05 22:59:18,501 | ERROR | app.scale.reader | Serial error: [Errno 2] could not open port COM6: [Errno 2] No such file or directory: 'COM6' (COM port busy? Close other apps using the scale.)
2026-03-05 22:59:20,506 | INFO | app.scale.reader | Connecting to COM6 @ 9600...
2026-03-05 22:59:20,507 | ERROR | app.scale.reader | Serial error: [Errno 2] could not open port COM6: [Errno 2] No such file or directory: 'COM6' (COM port busy? Close other apps using the scale.)
2026-03-05 22:59:22,513 | INFO | app.scale.reader | Connecting to COM6 @ 9600...
2026-03-05 22:59:22,514 | ERROR | app.scale.reader | Serial error: [Errno 2] could not open port COM6: [Errno 2] No such file or directory: 'COM6' (COM port busy? Close other apps using the scale.)
2026-03-05 22:59:24,519 | INFO | app.scale.reader | Connecting to COM6 @ 9600...
2026-03-05 22:59:24,520 | ERROR | app.scale.reader | Serial error: [Errno 2] could not open port COM6: [Errno 2] No such file or directory: 'COM6' (COM port busy? Close other apps using the scale.)
2026-03-05 22:59:26,522 | INFO | app.scale.reader | Connecting to COM6 @ 9600...
2026-03-05 22:59:26,523 | ERROR | app.scale.reader | Serial error: [Errno 2] could not open port COM6: [Errno 2] No such file or directory: 'COM6' (COM port busy? Close other apps using the scale.)
2026-03-05 22:59:28,527 | INFO | app.scale.reader | Connecting to COM6 @ 9600...
2026-03-05 22:59:28,528 | ERROR | app.scale.reader | Serial error: [Errno 2] could not open port COM6: [Errno 2] No such file or directory: 'COM6' (COM port busy? Close other apps using the scale.)
2026-03-05 22:59:30,533 | INFO | app.scale.reader | Connecting to COM6 @ 9600...
2026-03-05 22:59:30,534 | ERROR | app.scale.reader | Serial error: [Errno 2] could not open port COM6: [Errno 2] No such file or directory: 'COM6' (COM port busy? Close other apps using the scale.)
2026-03-05 22:59:34,707 | INFO | root | === POS Scale App started ===
2026-03-05 22:59:34,793 | INFO | app.ui.main_window | Main window ready
2026-03-05 22:59:34,894 | INFO | app.scale.reader | Connecting to COM6 @ 9600...
2026-03-05 22:59:34,894 | ERROR | app.scale.reader | Serial error: [Errno 2] could not open port COM6: [Errno 2] No such file or directory: 'COM6' (COM port busy? Close other apps using the scale.)
2026-03-05 22:59:36,899 | INFO | app.scale.reader | Connecting to COM6 @ 9600...
2026-03-05 22:59:36,900 | ERROR | app.scale.reader | Serial error: [Errno 2] could not open port COM6: [Errno 2] No such file or directory: 'COM6' (COM port busy? Close other apps using the scale.)
2026-03-05 22:59:38,903 | INFO | app.scale.reader | Connecting to COM6 @ 9600...
2026-03-05 22:59:38,904 | ERROR | app.scale.reader | Serial error: [Errno 2] could not open port COM6: [Errno 2] No such file or directory: 'COM6' (COM port busy? Close other apps using the scale.)
2026-03-05 22:59:40,904 | INFO | app.scale.reader | Connecting to COM6 @ 9600...
2026-03-05 22:59:40,905 | ERROR | app.scale.reader | Serial error: [Errno 2] could not open port COM6: [Errno 2] No such file or directory: 'COM6' (COM port busy? Close other apps using the scale.)
2026-03-05 22:59:42,909 | INFO | app.scale.reader | Connecting to COM6 @ 9600...
2026-03-05 22:59:42,910 | ERROR | app.scale.reader | Serial error: [Errno 2] could not open port COM6: [Errno 2] No such file or directory: 'COM6' (COM port busy? Close other apps using the scale.)
2026-03-05 22:59:44,915 | INFO | app.scale.reader | Connecting to COM6 @ 9600...
2026-03-05 22:59:44,915 | ERROR | app.scale.reader | Serial error: [Errno 2] could not open port COM6: [Errno 2] No such file or directory: 'COM6' (COM port busy? Close other apps using the scale.)
2026-03-05 22:59:46,919 | INFO | app.scale.reader | Connecting to COM6 @ 9600...
2026-03-05 22:59:46,920 | ERROR | app.scale.reader | Serial error: [Errno 2] could not open port COM6: [Errno 2] No such file or directory: 'COM6' (COM port busy? Close other apps using the scale.)
2026-03-05 22:59:48,922 | INFO | app.scale.reader | Connecting to COM6 @ 9600...
2026-03-05 22:59:48,923 | ERROR | app.scale.reader | Serial error: [Errno 2] could not open port COM6: [Errno 2] No such file or directory: 'COM6' (COM port busy? Close other apps using the scale.)
2026-03-05 22:59:50,928 | INFO | app.scale.reader | Connecting to COM6 @ 9600...
2026-03-05 22:59:50,929 | ERROR | app.scale.reader | Serial error: [Errno 2] could not open port COM6: [Errno 2] No such file or directory: 'COM6' (COM port busy? Close other apps using the scale.)
2026-03-05 22:59:52,934 | INFO | app.scale.reader | Connecting to COM6 @ 9600...
2026-03-05 22:59:52,935 | ERROR | app.scale.reader | Serial error: [Errno 2] could not open port COM6: [Errno 2] No such file or directory: 'COM6' (COM port busy? Close other apps using the scale.)
2026-03-05 22:59:54,940 | INFO | app.scale.reader | Connecting to COM6 @ 9600...
2026-03-05 22:59:54,940 | ERROR | app.scale.reader | Serial error: [Errno 2] could not open port COM6: [Errno 2] No such file or directory: 'COM6' (COM port busy? Close other apps using the scale.)
2026-03-05 22:59:56,945 | INFO | app.scale.reader | Connecting to COM6 @ 9600...
2026-03-05 22:59:56,946 | ERROR | app.scale.reader | Serial error: [Errno 2] could not open port COM6: [Errno 2] No such file or directory: 'COM6' (COM port busy? Close other apps using the scale.)
2026-03-05 22:59:58,948 | INFO | app.scale.reader | Connecting to COM6 @ 9600...
2026-03-05 22:59:58,948 | ERROR | app.scale.reader | Serial error: [Errno 2] could not open port COM6: [Errno 2] No such file or directory: 'COM6' (COM port busy? Close other apps using the scale.)
2026-03-05 23:00:00,953 | INFO | app.scale.reader | Connecting to COM6 @ 9600...
2026-03-05 23:00:00,954 | ERROR | app.scale.reader | Serial error: [Errno 2] could not open port COM6: [Errno 2] No such file or directory: 'COM6' (COM port busy? Close other apps using the scale.)
2026-03-05 23:00:02,959 | INFO | app.scale.reader | Connecting to COM6 @ 9600...
2026-03-05 23:00:02,960 | ERROR | app.scale.reader | Serial error: [Errno 2] could not open port COM6: [Errno 2] No such file or directory: 'COM6' (COM port busy? Close other apps using the scale.)
2026-03-05 23:00:04,965 | INFO | app.scale.reader | Connecting to COM6 @ 9600...
2026-03-05 23:00:04,965 | ERROR | app.scale.reader | Serial error: [Errno 2] could not open port COM6: [Errno 2] No such file or directory: 'COM6' (COM port busy? Close other apps using the scale.)
2026-03-05 23:00:06,969 | INFO | app.scale.reader | Connecting to COM6 @ 9600...
2026-03-05 23:00:06,969 | ERROR | app.scale.reader | Serial error: [Errno 2] could not open port COM6: [Errno 2] No such file or directory: 'COM6' (COM port busy? Close other apps using the scale.)
2026-03-05 23:00:08,974 | INFO | app.scale.reader | Connecting to COM6 @ 9600...
